Item Identifier,Item Fat Content,Item Type,Outlet Establishment Year,Outlet Location Type,Outlet Size,Outlet Type,Total Amount,Rating
FDO45,Regular,Snack Foods,2015,Tier 2,Medium,Supermarket Type1,8003.8754,5
FDB09,Low Fat,Fruits and Vegetables,2012,Tier 1,Medium,Supermarket Type1,11389.96515,5
FDP51,Regular,Meat,2010,Tier 1,Small,Supermarket Type1,10795.0191,5
FDT50,Regular,Dairy,2000,Tier 3,High,Supermarket Type1,8634.6868,5
FDQ08,Regular,Fruits and Vegetables,1998,Tier 3,Medium,Supermarket Type3,5681.5624,5
DRL11,Low Fat,Hard Drinks,2015,Tier 2,Medium,Supermarket Type1,14358.28765,5
FDT34,Low Fat,Snack Foods,2012,Tier 1,Medium,Supermarket Type1,9412.7501,5
FDP01,Regular,Breakfast,2011,Tier 3,Medium,Grocery Store,13588.78005,5
NCJ31,Low Fat,Others,2000,Tier 3,High,Supermarket Type1,21589.5689,5
NCL30,Low Fat,Household,2017,Tier 2,Small,Supermarket Type1,11491.8574,5
FDF04,LF,Frozen Foods,2012,Tier 1,Medium,Supermarket Type1,23133.8186,5
NCZ42,LF,Household,2012,Tier 1,Medium,Supermarket Type1,21256.1132,5
FDG24,Low Fat,Baking Goods,2012,Tier 1,Medium,Supermarket Type1,7438.85625,5
FDV49,Low Fat,Canned,2012,Tier 1,Medium,Supermarket Type1,23882.18965,5
FDX01,Low Fat,Canned,2012,Tier 1,Medium,Supermarket Type1,10371.07875,5
DRF27,Low Fat,Dairy,2012,Tier 1,Medium,Supermarket Type1,13739.1185,5
FDF16,Low Fat,Frozen Foods,2012,Tier 1,Medium,Supermarket Type1,13285.4859,5
FDU04,Low Fat,Frozen Foods,2012,Tier 1,Medium,Supermarket Type1,11023.26135,5
FDP04,Low Fat,Frozen Foods,2012,Tier 1,Medium,Supermarket Type1,5660.1912,5
FDD05,Low Fat,Frozen Foods,2012,Tier 1,Medium,Supermarket Type1,10912.10945,5
FDV07,Low Fat,Fruits and Vegetables,2012,Tier 1,Medium,Supermarket Type1,10028.8327,5
FDT20,Low Fat,Fruits and Vegetables,2012,Tier 1,Medium,Supermarket Type1,3539.2801,5
FDC44,Low Fat,Fruits and Vegetables,2012,Tier 1,Medium,Supermarket Type1,10103.64995,5
DRM59,Low Fat,Hard Drinks,2012,Tier 1,Medium,Supermarket Type1,13889.45695,5
DRG23,Low Fat,Hard Drinks,2012,Tier 1,Medium,Supermarket Type1,13841.48005,5
NCJ29,Low Fat,Health and Hygiene,2012,Tier 1,Medium,Supermarket Type1,7646.1966,5
NCM42,Low Fat,Household,2012,Tier 1,Medium,Supermarket Type1,9935.7308,5
NCY42,Low Fat,Household,2012,Tier 1,Medium,Supermarket Type1,13081.46675,5
NCX54,Low Fat,Household,2012,Tier 1,Medium,Supermarket Type1,9725.53855,5
NCI06,Low Fat,Household,2012,Tier 1,Medium,Supermarket Type1,16314.1315,5
NCQ02,Low Fat,Household,2012,Tier 1,Medium,Supermarket Type1,16872.7429,5
NCR38,Low Fat,Household,2012,Tier 1,Medium,Supermarket Type1,22875.8841,5
NCM30,Low Fat,Household,2012,Tier 1,Medium,Supermarket Type1,3788.6589,5
FDK43,Low Fat,Meat,2012,Tier 1,Medium,Supermarket Type1,11398.7555,5
FDK21,Low Fat,Snack Foods,2012,Tier 1,Medium,Supermarket Type1,22530.0822,5
FDR45,Low Fat,Snack Foods,2012,Tier 1,Medium,Supermarket Type1,21589.80355,5
FDV09,Low Fat,Snack Foods,2012,Tier 1,Medium,Supermarket Type1,13318.49935,5
FDU12,Regular,Baking Goods,2012,Tier 1,Medium,Supermarket Type1,23623.5512,5
FDZ47,Regular,Baking Goods,2012,Tier 1,Medium,Supermarket Type1,9007.32905,5
FDO11,Regular,Breads,2012,Tier 1,Medium,Supermarket Type1,22328.6803,5
FDU49,Regular,Canned,2012,Tier 1,Medium,Supermarket Type1,7721.2485,5
FDA02,Regular,Dairy,2012,Tier 1,Medium,Supermarket Type1,13129.44365,5
FDV26,Regular,Dairy,2012,Tier 1,Medium,Supermarket Type1,17533.71585,5
FDA04,Regular,Frozen Foods,2012,Tier 1,Medium,Supermarket Type1,23220.98205,5
FDO52,Regular,Frozen Foods,2012,Tier 1,Medium,Supermarket Type1,15560.05665,5
FDA40,Regular,Frozen Foods,2012,Tier 1,Medium,Supermarket Type1,7859.4754,5
FDS27,Regular,Meat,2012,Tier 1,Medium,Supermarket Type1,17789.26775,5
FDU15,Regular,Meat,2012,Tier 1,Medium,Supermarket Type1,3425.2763,5
FDV33,Regular,Snack Foods,2012,Tier 1,Medium,Supermarket Type1,23395.5436,5
FDV34,Regular,Snack Foods,2012,Tier 1,Medium,Supermarket Type1,6633.71795,5
FDX46,Regular,Snack Foods,2012,Tier 1,Medium,Supermarket Type1,5338.84705,5
NCA53,low fat,Health and Hygiene,2012,Tier 1,Medium,Supermarket Type1,4539.88185,5
FDT24,reg,Baking Goods,2012,Tier 1,Medium,Supermarket Type1,7060.5102,5
FDX27,reg,Dairy,2012,Tier 1,Medium,Supermarket Type1,8568.6599,5
NCQ38,LF,Others,1998,Tier 1,Small,Grocery Store,9767.577,5
FDK02,Low Fat,Canned,1998,Tier 1,Small,Grocery Store,10879.096,5
FDI15,Low Fat,Dairy,1998,Tier 1,Small,Grocery Store,23752.7531,5
FDE09,Low Fat,Fruits and Vegetables,1998,Tier 1,Small,Grocery Store,9902.4827,5
FDS55,Low Fat,Fruits and Vegetables,1998,Tier 1,Small,Grocery Store,13571.19935,5
FDZ56,Low Fat,Fruits and Vegetables,1998,Tier 1,Small,Grocery Store,15121.15285,5
NCA05,Low Fat,Health and Hygiene,1998,Tier 1,Small,Grocery Store,13381.67435,5
NCK29,Low Fat,Health and Hygiene,1998,Tier 1,Small,Grocery Store,11143.43825,5
NCU29,Low Fat,Health and Hygiene,1998,Tier 1,Small,Grocery Store,13174.334,5
NCX41,Low Fat,Health and Hygiene,1998,Tier 1,Small,Grocery Store,18999.8271,5
NCG07,Low Fat,Household,1998,Tier 1,Small,Grocery Store,17125.20825,5
NCI30,Low Fat,Household,1998,Tier 1,Small,Grocery Store,22052.2265,5
NCR54,Low Fat,Household,1998,Tier 1,Small,Grocery Store,17572.66775,5
NCT06,Low Fat,Household,1998,Tier 1,Small,Grocery Store,15142.52405,5
FDN15,Low Fat,Meat,1998,Tier 1,Small,Grocery Store,12663.6995,5
FDJ45,Low Fat,Seafood,1998,Tier 1,Small,Grocery Store,3088.4994,5
FDL13,Regular,Breakfast,1998,Tier 1,Small,Grocery Store,21003.8825,5
FDL02,Regular,Canned,1998,Tier 1,Small,Grocery Store,9671.38855,5
FDF56,Regular,Fruits and Vegetables,1998,Tier 1,Small,Grocery Store,16172.5834,5
FDQ27,Regular,Meat,1998,Tier 1,Small,Grocery Store,9151.25975,5
FDG35,Regular,Starchy Foods,1998,Tier 1,Small,Grocery Store,15692.11045,5
FDD38,reg,Canned,1998,Tier 1,Small,Grocery Store,9365.00785,5
FDE41,reg,Frozen Foods,1998,Tier 1,Small,Grocery Store,7559.03315,5
FDP24,Low Fat,Baking Goods,2010,Tier 1,Small,Supermarket Type1,10782.6729,5
FDH38,Low Fat,Canned,2010,Tier 1,Small,Supermarket Type1,10458.2422,5
FDT49,Low Fat,Canned,2010,Tier 1,Small,Supermarket Type1,9722.452,5
FDN02,Low Fat,Canned,2010,Tier 1,Small,Supermarket Type1,18849.95795,5
DRF27,Low Fat,Dairy,2010,Tier 1,Small,Supermarket Type1,13946.6935,5
FDT02,Low Fat,Dairy,2010,Tier 1,Small,Supermarket Type1,3265.91285,5
FDF05,Low Fat,Frozen Foods,2010,Tier 1,Small,Supermarket Type1,23870.31275,5
FDI45,Low Fat,Fruits and Vegetables,2010,Tier 1,Small,Supermarket Type1,15839.36235,5
FDZ20,Low Fat,Fruits and Vegetables,2010,Tier 1,Small,Supermarket Type1,22773.2879,5
NCC42,Low Fat,Health and Hygiene,2010,Tier 1,Small,Supermarket Type1,12660.61295,5
NCQ53,Low Fat,Health and Hygiene,2010,Tier 1,Small,Supermarket Type1,21177.97475,5
NCR54,Low Fat,Household,2010,Tier 1,Small,Supermarket Type1,17888.54275,5
NCX06,Low Fat,Household,2010,Tier 1,Small,Supermarket Type1,16488.4584,5
NCO06,Low Fat,Household,2010,Tier 1,Small,Supermarket Type1,2929.13595,5
NCN54,Low Fat,Household,2010,Tier 1,Small,Supermarket Type1,6870.9852,5
FDL27,Low Fat,Meat,2010,Tier 1,Small,Supermarket Type1,5954.92965,5
FDV51,Low Fat,Meat,2010,Tier 1,Small,Supermarket Type1,14962.02405,5
FDC46,Low Fat,Snack Foods,2010,Tier 1,Small,Supermarket Type1,16482.05065,5
FDZ58,Low Fat,Snack Foods,2010,Tier 1,Small,Supermarket Type1,11083.3498,5
FDN21,Low Fat,Snack Foods,2010,Tier 1,Small,Supermarket Type1,14532.3799,5
FDO58,Low Fat,Snack Foods,2010,Tier 1,Small,Supermarket Type1,14995.27215,5
DRD24,Low Fat,Soft Drinks,2010,Tier 1,Small,Supermarket Type1,12934.21485,5
DRI37,Low Fat,Soft Drinks,2010,Tier 1,Small,Supermarket Type1,5305.8336,5
FDI12,Regular,Baking Goods,2010,Tier 1,Small,Supermarket Type1,8094.1254,5
FDP12,Regular,Baking Goods,2010,Tier 1,Small,Supermarket Type1,3338.11285,5
FDO01,Regular,Breakfast,2010,Tier 1,Small,Supermarket Type1,11777.57085,5
FDZ37,Regular,Canned,2010,Tier 1,Small,Supermarket Type1,7997.93695,5
FDJ15,Regular,Dairy,2010,Tier 1,Small,Supermarket Type1,16476.1122,5
FDM04,Regular,Frozen Foods,2010,Tier 1,Small,Supermarket Type1,4798.28565,5
FDI40,Regular,Frozen Foods,2010,Tier 1,Small,Supermarket Type1,9100.43095,5
FDX04,Regular,Frozen Foods,2010,Tier 1,Small,Supermarket Type1,4506.8684,5
FDS15,Regular,Meat,2010,Tier 1,Small,Supermarket Type1,9598.9539,5
FDJ57,Regular,Seafood,2010,Tier 1,Small,Supermarket Type1,16665.40255,5
FDG21,Regular,Seafood,2010,Tier 1,Small,Supermarket Type1,13574.05125,5
FDW21,Regular,Snack Foods,2010,Tier 1,Small,Supermarket Type1,8983.10595,5
FDX10,Regular,Snack Foods,2010,Tier 1,Small,Supermarket Type1,3356.16285,5
DRI51,LF,Dairy,2015,Tier 2,Medium,Supermarket Type1,15484.7701,5
NCZ17,LF,Health and Hygiene,2020,Tier 2,Medium,Supermarket Type1,3533.34165,5
DRE25,LF,Soft Drinks,2020,Tier 2,Medium,Supermarket Type1,8295.058,5
FDT60,Low Fat,Baking Goods,2015,Tier 2,Medium,Supermarket Type1,11248.6517,5
FDN24,Low Fat,Baking Goods,2015,Tier 2,Medium,Supermarket Type1,5071.6529,5
FDO37,Low Fat,Breakfast,2015,Tier 2,Medium,Supermarket Type1,20940.94215,5
FDI14,Low Fat,Canned,2015,Tier 2,Medium,Supermarket Type1,12657.5264,5
FDW37,Low Fat,Canned,2015,Tier 2,Medium,Supermarket Type1,8099.8292,5
DRC27,Low Fat,Dairy,2015,Tier 2,Medium,Supermarket Type1,22335.08805,5
FDK16,Low Fat,Frozen Foods,2015,Tier 2,Medium,Supermarket Type1,8664.84835,5
FDK41,Low Fat,Frozen Foods,2015,Tier 2,Medium,Supermarket Type1,7546.9216,5
FDY31,Low Fat,Fruits and Vegetables,2015,Tier 2,Medium,Supermarket Type1,13189.29745,5
FDT20,Low Fat,Fruits and Vegetables,2015,Tier 2,Medium,Supermarket Type1,3322.6801,5
FDI45,Low Fat,Fruits and Vegetables,2015,Tier 2,Medium,Supermarket Type1,15866.43735,5
FDG57,Low Fat,Fruits and Vegetables,2015,Tier 2,Medium,Supermarket Type1,4386.45685,5
FDN32,Low Fat,Fruits and Vegetables,2015,Tier 2,Medium,Supermarket Type1,16680.60065,5
FDX19,Low Fat,Fruits and Vegetables,2015,Tier 2,Medium,Supermarket Type1,21109.09595,5
FDP20,Low Fat,Fruits and Vegetables,2015,Tier 2,Medium,Supermarket Type1,11335.5805,5
NCR17,Low Fat,Health and Hygiene,2015,Tier 2,Small,Supermarket Type1,10509.5403,5
NCT17,Low Fat,Health and Hygiene,2015,Tier 2,Small,Supermarket Type1,17149.43135,5
NCU05,Low Fat,Health and Hygiene,2015,Tier 2,Small,Supermarket Type1,7144.35245,5
NCT42,Low Fat,Household,2015,Tier 2,Small,Supermarket Type1,13396.6378,5
NCV18,Low Fat,Household,2015,Tier 2,Small,Supermarket Type1,7637.40625,5
NCH43,Low Fat,Household,2015,Tier 2,Small,Supermarket Type1,19531.8328,5
NCE18,Low Fat,Household,2015,Tier 2,Small,Supermarket Type1,22713.66875,5
NCC18,Low Fat,Household,2015,Tier 2,Small,Supermarket Type1,15698.28355,5
NCJ42,Low Fat,Household,2015,Tier 2,Small,Supermarket Type1,9407.0463,5
FDQ10,Low Fat,Snack Foods,2015,Tier 2,Small,Supermarket Type1,15562.90855,5
FDL34,Low Fat,Snack Foods,2015,Tier 2,Small,Supermarket Type1,12874.1264,5
DRK37,Low Fat,Soft Drinks,2015,Tier 2,Small,Supermarket Type1,17134.23325,5
DRF48,Low Fat,Soft Drinks,2015,Tier 2,Small,Supermarket Type1,16984.12945,5
DRG49,Low Fat,Soft Drinks,2015,Tier 2,Small,Supermarket Type1,22205.88615,5
FDX60,Low Fat,Baking Goods,2020,Tier 2,Small,Supermarket Type1,7147.439,5
FDS13,Low Fat,Canned,2020,Tier 2,Small,Supermarket Type1,24086.6781,5
FDC50,Low Fat,Canned,2020,Tier 2,Small,Supermarket Type1,8520.44835,5
FDK51,Low Fat,Dairy,2020,Tier 2,Small,Supermarket Type1,23879.1031,5
FDD17,Low Fat,Frozen Foods,2020,Tier 2,Small,Supermarket Type1,21632.07665,5
FDJ28,Low Fat,Frozen Foods,2020,Tier 2,Small,Supermarket Type1,17257.26205,5
FDP16,Low Fat,Frozen Foods,2020,Tier 2,Small,Supermarket Type1,21992.13805,5
FDB20,Low Fat,Fruits and Vegetables,2020,Tier 2,Small,Supermarket Type1,7147.67365,5
FDP56,Low Fat,Fruits and Vegetables,2020,Tier 2,Small,Supermarket Type1,4509.7203,5
FDT43,Low Fat,Fruits and Vegetables,2020,Tier 2,Small,Supermarket Type1,4587.6241,5
DRI59,Low Fat,Hard Drinks,2020,Tier 2,Small,Supermarket Type1,20171.6692,5
DRN47,Low Fat,Hard Drinks,2020,Tier 2,Small,Supermarket Type1,16097.5315,5
DRM23,Low Fat,Hard Drinks,2020,Tier 2,Small,Supermarket Type1,15644.13355,5
NCN53,Low Fat,Health and Hygiene,2020,Tier 2,Small,Supermarket Type1,3031.26285,5
NCT53,Low Fat,Health and Hygiene,2020,Tier 2,Small,Supermarket Type1,14715.49715,5
NCQ05,Low Fat,Health and Hygiene,2020,Tier 2,Small,Supermarket Type1,13471.6897,5
NCM53,Low Fat,Health and Hygiene,2020,Tier 2,Small,Supermarket Type1,9758.552,5
NCX42,Low Fat,Household,2020,Tier 2,Small,Supermarket Type1,14715.49715,5
NCT18,Low Fat,Household,2020,Tier 2,High,Supermarket Type1,16217.7084,5
NCI30,Low Fat,Household,2020,Tier 2,High,Supermarket Type1,22241.7515,5
NCE54,Low Fat,Household,2020,Tier 2,High,Supermarket Type1,6672.66985,5
FDH19,Low Fat,Meat,2020,Tier 2,High,Supermarket Type1,15692.11045,5
FDT03,Low Fat,Meat,2020,Tier 2,High,Supermarket Type1,16530.2622,5
NCN19,Low Fat,Others,2020,Tier 2,High,Supermarket Type1,17170.33325,5
NCQ43,Low Fat,Others,2020,Tier 2,High,Supermarket Type1,9827.4308,5
FDK09,Low Fat,Snack Foods,2020,Tier 2,High,Supermarket Type1,20507.9768,5
FDV46,Low Fat,Snack Foods,2020,Tier 2,High,Supermarket Type1,12618.5745,5
FDY46,Low Fat,Snack Foods,2020,Tier 2,High,Supermarket Type1,17056.32945,5
FDK26,Regular,Canned,2015,Tier 2,High,Supermarket Type1,16933.066,5
FDI50,Regular,Canned,2015,Tier 2,High,Supermarket Type1,20544.0768,5
FDB26,Regular,Canned,2015,Tier 2,High,Supermarket Type1,4725.851,5
FDY49,Regular,Canned,2015,Tier 2,High,Supermarket Type1,14956.0856,5
FDB04,Regular,Dairy,2015,Tier 2,High,Supermarket Type1,8030.9504,5
FDA02,Regular,Dairy,2015,Tier 2,High,Supermarket Type1,13210.66865,5
FDZ28,Regular,Frozen Foods,2015,Tier 2,High,Supermarket Type1,11558.11895,5
FDE17,Regular,Frozen Foods,2015,Tier 2,High,Supermarket Type1,13739.35315,5
FDQ19,Regular,Fruits and Vegetables,2015,Tier 2,High,Supermarket Type1,21781.9458,5
FDM08,Regular,Fruits and Vegetables,2015,Tier 2,High,Supermarket Type1,20117.5192,5
FDP03,Regular,Meat,2015,Tier 2,High,Supermarket Type1,11023.0267,5
FDU58,Regular,Snack Foods,2015,Tier 2,High,Supermarket Type1,16830.70445,5
FDU46,Regular,Snack Foods,2015,Tier 2,High,Supermarket Type1,7658.0735,5
FDY34,Regular,Snack Foods,2015,Tier 2,High,Supermarket Type1,15088.37405,5
FDO09,Regular,Snack Foods,2015,Tier 2,High,Supermarket Type1,23662.73775,5
FDP48,Regular,Baking Goods,2020,Tier 2,High,Supermarket Type1,16370.89875,5
FDI12,Regular,Baking Goods,2020,Tier 2,High,Supermarket Type1,7841.4254,5
FDY12,Regular,Baking Goods,2020,Tier 2,High,Supermarket Type1,4512.5722,5
FDX48,Regular,Baking Goods,2020,Tier 2,High,Supermarket Type1,13904.4204,5
FDV60,Regular,Baking Goods,2020,Tier 2,High,Supermarket Type1,17671.94275,5
FDQ47,Regular,Breads,2020,Tier 2,High,Supermarket Type1,3184.68785,5
FDZ13,Regular,Canned,2020,Tier 2,High,Supermarket Type1,4587.85875,5
FDM04,Regular,Frozen Foods,2020,Tier 2,High,Supermarket Type1,4590.71065,5
FDS04,Regular,Frozen Foods,2020,Tier 2,High,Supermarket Type1,12777.93795,5
FDV28,Regular,Frozen Foods,2020,Tier 2,High,Supermarket Type1,3172.81095,5
FDU19,Regular,Fruits and Vegetables,2020,Tier 2,Medium,Supermarket Type1,15391.43355,5
FDE56,Regular,Fruits and Vegetables,2020,Tier 2,Medium,Supermarket Type1,5552.12585,5
FDI07,Regular,Meat,2020,Tier 2,Medium,Supermarket Type1,17801.14465,5
FDU15,Regular,Meat,2020,Tier 2,Medium,Supermarket Type1,3307.9513,5
FDU27,Regular,Meat,2020,Tier 2,Medium,Supermarket Type1,4254.1684,5
FDN39,Regular,Meat,2020,Tier 2,Medium,Supermarket Type1,15079.1144,5
FDV10,Regular,Snack Foods,2020,Tier 2,Medium,Supermarket Type1,3972.0108,5
FDO45,Regular,Snack Foods,2020,Tier 2,Medium,Supermarket Type1,8076.0754,5
FDB23,Regular,Starchy Foods,2020,Tier 2,Medium,Supermarket Type1,20451.20955,5
NCY41,low fat,Health and Hygiene,2020,Tier 2,Medium,Supermarket Type1,3073.3013,5
FDW31,reg,Fruits and Vegetables,2020,Tier 2,Medium,Supermarket Type1,17785.94655,5
FDR55,reg,Fruits and Vegetables,2020,Tier 2,Medium,Supermarket Type1,17209.5198,5
FDX10,reg,Snack Foods,2020,Tier 2,Medium,Supermarket Type1,3103.46285,5
DRF49,LF,Soft Drinks,2017,Tier 2,Small,Supermarket Type1,10329.27495,5
FDA23,Low Fat,Baking Goods,2017,Tier 2,Small,Supermarket Type1,8970.9944,5
FDR60,Low Fat,Baking Goods,2017,Tier 2,Small,Supermarket Type1,6970.2602,5
FDN60,Low Fat,Baking Goods,2017,Tier 2,Small,Supermarket Type1,14436.4261,5
FDU48,Low Fat,Baking Goods,2017,Tier 2,Small,Supermarket Type1,11870.4381,5
FDG60,Low Fat,Baking Goods,2017,Tier 2,Small,Supermarket Type1,21142.1094,5
FDU11,Low Fat,Breads,2017,Tier 2,Small,Supermarket Type1,10921.13445,5
FDT49,Low Fat,Canned,2017,Tier 2,Small,Supermarket Type1,9767.577,5
FDS37,Low Fat,Canned,2017,Tier 2,Small,Supermarket Type1,10301.9653,5
FDK50,Low Fat,Canned,2017,Tier 2,Small,Supermarket Type1,14736.86835,5
FDG26,Low Fat,Canned,2017,Tier 2,Small,Supermarket Type1,23269.42825,5
FDD14,Low Fat,Canned,2017,Tier 2,Small,Supermarket Type1,16644.50065,5
FDK41,Low Fat,Frozen Foods,2017,Tier 2,Small,Supermarket Type1,7763.5216,5
FDD16,Low Fat,Frozen Foods,2017,Tier 2,Small,Supermarket Type1,6585.5064,5
FDZ44,Low Fat,Fruits and Vegetables,2017,Tier 2,Small,Supermarket Type1,10458.2422,5
FDO44,Low Fat,Fruits and Vegetables,2017,Tier 2,Small,Supermarket Type1,9920.5327,5
DRL11,Low Fat,Hard Drinks,2017,Tier 2,Small,Supermarket Type1,14177.78765,5
NCU17,Low Fat,Health and Hygiene,2017,Tier 2,Small,Supermarket Type1,9085.23285,5
NCL41,Low Fat,Health and Hygiene,2017,Tier 2,Small,Supermarket Type1,3278.0244,5
NCS53,Low Fat,Health and Hygiene,2017,Tier 2,Small,Supermarket Type1,14391.3011,5
NCV17,Low Fat,Health and Hygiene,2017,Tier 2,Small,Supermarket Type1,11756.19965,5
NCO14,Low Fat,Household,2017,Tier 2,Small,Supermarket Type1,3845.42615,5
NCU18,Low Fat,Household,2017,Tier 2,Small,Supermarket Type1,12657.5264,5
NCI54,Low Fat,Household,2017,Tier 2,Small,Supermarket Type1,9764.2558,5
NCQ50,Low Fat,Household,2017,Tier 2,Small,Supermarket Type1,19252.29245,5
NCC18,Low Fat,Household,2017,Tier 2,Small,Supermarket Type1,15553.88355,5
NCQ38,Low Fat,Others,2017,Tier 2,Small,Supermarket Type1,9578.052,5
FDL10,Low Fat,Snack Foods,2017,Tier 2,Small,Supermarket Type1,8835.85405,5
FDE34,Low Fat,Snack Foods,2017,Tier 2,Small,Supermarket Type1,16359.02185,5
FDL46,Low Fat,Snack Foods,2017,Tier 2,Small,Supermarket Type1,10789.08065,5
FDH10,Low Fat,Snack Foods,2017,Tier 2,Small,Supermarket Type1,17548.91395,5
DRE60,Low Fat,Soft Drinks,2017,Tier 2,Small,Supermarket Type1,20412.023,5
DRD60,Low Fat,Soft Drinks,2017,Tier 2,Small,Supermarket Type1,16467.32185,5
FDR36,Regular,Baking Goods,2017,Tier 2,Small,Supermarket Type1,3948.02235,5
FDL24,Regular,Baking Goods,2017,Tier 2,Small,Supermarket Type1,15427.53355,5
FDM36,Regular,Baking Goods,2017,Tier 2,Small,Supermarket Type1,15445.58355,5
FDD26,Regular,Canned,2017,Tier 2,Small,Supermarket Type1,16551.1641,5
FDI02,Regular,Canned,2017,Tier 2,Small,Supermarket Type1,10263.24805,5
FDE04,Regular,Frozen Foods,2017,Tier 2,Small,Supermarket Type1,16386.3315,5
FDQ08,Regular,Fruits and Vegetables,2017,Tier 2,Small,Supermarket Type1,5437.8874,5
FDV20,Regular,Fruits and Vegetables,2017,Tier 2,Small,Supermarket Type1,11503.96895,5
FDW03,Regular,Meat,2017,Tier 2,Small,Supermarket Type1,9578.28665,5
FDX51,Regular,Meat,2017,Tier 2,Small,Supermarket Type1,17638.9293,5
FDR03,Regular,Meat,2017,Tier 2,Small,Supermarket Type1,18762.7945,5
FDW21,Regular,Snack Foods,2017,Tier 2,Small,Supermarket Type1,9244.83095,5
FDJ58,Regular,Snack Foods,2017,Tier 2,Small,Supermarket Type1,15638.1951,5
FDR48,Low Fat,Baking Goods,2011,Tier 3,Medium,Grocery Store,13808.4666,5
FDO16,Low Fat,Frozen Foods,2011,Tier 3,Medium,Grocery Store,7520.08125,5
FDE53,Low Fat,Frozen Foods,2011,Tier 3,Medium,Grocery Store,9677.327,5
FDV31,Low Fat,Fruits and Vegetables,2011,Tier 3,Medium,Grocery Store,16058.81425,5
FDF32,Low Fat,Fruits and Vegetables,2011,Tier 3,Medium,Grocery Store,17891.39465,5
DRN35,Low Fat,Hard Drinks,2011,Tier 3,Medium,Grocery Store,3307.9513,5
NCQ17,Low Fat,Health and Hygiene,2011,Tier 3,Medium,Grocery Store,14120.78575,5
